containers,Environnement,time_mean,time_std,time_var
1,Crio-runc,0.38185,0.3278854144362021,0.107508845
5,Crio-runc,1.6355,0.26940768363207457,0.07258049999999996
10,Crio-runc,2.42085,0.09029753595752207,0.00815364499999999
15,Crio-runc,3.9687,0.26261945853268387,0.06896898000000007
20,Crio-runc,5.559,0.9489373003523471,0.9004820000000007
25,Crio-runc,7.755699999999999,1.0992682020326063,1.208390579999999
30,Crio-runc,8.70845,0.6356182856085878,0.40401060500000024
35,Crio-runc,10.199000000000002,0.7368052659963817,0.5428819999999989
40,Crio-runc,12.6933,0.9210772931735961,0.8483833799999988
1,Docker-crun,3.3449999999999998,0.16263455967290608,0.026450000000000046
1,Docker-runc,3.76,0.22627416997969527,0.05120000000000002
5,Docker-crun,23.685000000000002,0.9687362902255721,0.9384500000000038
5,Docker-runc,33.5535,1.9848487347906405,3.939624500000006
10,Docker-crun,43.075,2.665792565073284,7.106449999999999
10,Docker-runc,63.829,0.7056925676241778,0.49800200000000466
15,Docker-crun,75.88,11.723830432072951,137.44819999999984
15,Docker-runc,87.369,7.708878128495732,59.42680199999985
20,Docker-crun,89.8375,0.7785245660863882,0.606100499999999
20,Docker-runc,149.87835,15.374410611304747,236.37250164499997
25,Docker-crun,118.035,1.1384419177103462,1.2960500000000106
25,Docker-runc,150.3495,19.392403474041075,376.0653125000003
30,Docker-crun,142.52859999999998,5.503270656618658,30.285987919999958
30,Docker-runc,185.77675,10.37078160627252,107.5531111250004
35,Docker-crun,174.67849999999999,0.8647915933911469,0.7478644999999987
35,Docker-runc,209.046,43.02603342163904,1851.239552
40,Docker-crun,216.76684999999998,2.691460541230361,7.2439598450000275
40,Docker-runc,244.6155,33.537367524896744,1124.7550204999986
1,Podman-crun,2.045,0.7141778489984129,0.5100499999999998
1,Podman-runc,1.4645,0.0629325035256027,0.003960499999999997
5,Podman-crun,19.685000000000002,3.0759144981614814,9.461249999999998
5,Podman-runc,15.97,1.3717871555019032,1.8818000000000026
10,Podman-crun,30.872,1.779080661465356,3.165128000000009
10,Podman-runc,35.1545,3.28875363929863,10.815900499999982
15,Podman-crun,68.242,20.127087419693897,405.0996480000003
15,Podman-runc,56.4,1.6687720036002518,2.784799999999999
20,Podman-crun,60.42,18.144360005246806,329.2177999999999
20,Podman-runc,70.775,5.451793282948272,29.722049999999896
25,Podman-crun,77.6395,17.068850591062077,291.34566050000024
25,Podman-runc,90.1285,7.582306014663343,57.49136449999991
30,Podman-crun,93.8885,15.600896913318804,243.38798450000021
30,Podman-runc,113.26169999999999,2.9250179110562784,8.555729780000036
35,Podman-crun,113.59,15.740196949212546,247.75379999999996
35,Podman-runc,130.421,5.712008578424943,32.62704200000014
40,Podman-crun,137.179,18.04677926944306,325.68624199999977
40,Podman-runc,154.6596,7.032318360256452,49.453501519999996
