containers,Environnement,time_mean,time_std,time_var
1,Crio-runc,8.510055,0.7688584163875688,0.5911432644500001
1,Docker-crun,28.5615,3.632579830735545,13.19563622666668
1,Docker-runc,44.72453333333333,22.909923475719715,524.8645936633333
1,Podman-crun,19.881095,7.587274682893061,57.56673711367
1,Podman-runc,22.744763333333335,8.4349576729841,71.14851094503334
5,Crio-runc,44.8306535,1.6655850733374438,2.774173636524498
5,Docker-crun,148.37426,32.46106568106475,1053.7207851503997
5,Docker-runc,193.0343834,77.58327675705685,6019.164832362078
5,Podman-crun,73.92455,11.441658285515262,130.91154432250002
5,Podman-runc,66.90812665,10.204822268725746,104.13839753628088
10,Crio-runc,86.922895,2.4071399755830614,5.794322862050021
10,Docker-crun,274.68730266666665,100.51159973508145,10102.581681305224
10,Docker-runc,267.5936026,19.828075554813278,393.1525802073839
10,Podman-crun,133.32730285714285,21.202691262907887,449.5541167901904
10,Podman-runc,107.671719,4.631216319702957,21.448164599882997
15,Crio-runc,143.9999675,14.207610176134931,201.85618691701285
15,Docker-crun,392.28784333333334,68.58682633052526,4704.152746093633
15,Docker-runc,472.82374,112.0491790754756,12555.018531488
15,Podman-crun,192.2063,33.68765353350295,1134.8580005933338
15,Podman-runc,179.2935,30.16434359123367,909.8876242899997
20,Crio-runc,185.165775,19.585988097526513,383.6109297564503
20,Docker-crun,554.8613333333333,63.604616069380775,4045.547185333331
20,Docker-runc,650.414108,161.93219938302227,26222.037197022873
20,Podman-crun,253.1129857142857,35.16072061948431,1236.2762744814288
20,Podman-runc,238.87812,46.60510371503534,2172.035692289201
25,Crio-runc,311.31254,99.2869278982042,9857.8940514632
25,Docker-crun,767.5718,108.60202907777551,11794.400719809997
25,Docker-runc,827.9665080000001,120.01643997045116,14403.945863180908
25,Podman-crun,347.3982814285714,68.09916480043408,4637.49624651668
25,Podman-runc,289.9540666666667,5.923871678499918,35.09225566333343
30,Crio-runc,404.0,93.33809511662427,8712.0
30,Docker-crun,1026.8197933333333,82.27695046974056,6769.496578600141
30,Docker-runc,1055.87872,219.2976397272444,48091.454789940275
30,Podman-crun,448.3822085714286,97.68491385822674,9542.342395489179
30,Podman-runc,400.0788,59.07027353957317,3489.2972160399986
35,Crio-runc,329.0,32.526911934581186,1058.0
35,Docker-crun,1274.61835,98.23742587143145,9650.591841844991
35,Docker-runc,1386.1094566666668,70.79350195199166,5011.719918626646
35,Podman-crun,561.4641566666667,132.79764567165887,17635.214695935458
35,Podman-runc,485.6185,74.47501340711527,5546.527621989999
40,Crio-runc,446.0,65.05382386916237,4232.0
40,Docker-crun,1251.6435675,350.66919749222933,122968.88606984414
40,Docker-runc,1286.9675166666666,247.71428288795016,61362.365946691396
40,Podman-crun,578.7063233333333,140.2041961637548,19657.21662192464
40,Podman-runc,540.2885,56.774110545300495,3223.2996282100007
