containers,Environnement,time_mean,time_std,time_var
1,Crio,8.510055,0.7688584163875688,0.5911432644500001
1,Docker,44.72453333333333,22.909923475719715,524.8645936633333
1,Podman,19.881095,7.587274682893061,57.56673711367
5,Crio,44.8306535,1.6655850733374438,2.774173636524498
5,Docker,193.0343834,77.58327675705685,6019.164832362078
5,Podman,73.92455,11.441658285515262,130.91154432250002
10,Crio,86.922895,2.4071399755830614,5.794322862050021
10,Docker,267.5936026,19.828075554813278,393.1525802073839
10,Podman,133.32730285714285,21.202691262907887,449.5541167901904
15,Crio,143.9999675,14.207610176134931,201.85618691701285
15,Docker,472.82374,112.0491790754756,12555.018531488
15,Podman,192.2063,33.68765353350295,1134.8580005933338
20,Crio,185.165775,19.585988097526513,383.6109297564503
20,Docker,650.414108,161.93219938302227,26222.037197022873
20,Podman,253.1129857142857,35.16072061948431,1236.2762744814288
25,Crio,311.31254,99.2869278982042,9857.8940514632
25,Docker,827.9665080000001,120.01643997045116,14403.945863180908
25,Podman,347.3982814285714,68.09916480043408,4637.49624651668
30,Crio,404.0,93.33809511662427,8712.0
30,Docker,1055.87872,219.2976397272444,48091.454789940275
30,Podman,448.3822085714286,97.68491385822674,9542.342395489179
35,Crio,329.0,32.526911934581186,1058.0
35,Docker,1386.1094566666668,70.79350195199166,5011.719918626646
35,Podman,561.4641566666667,132.79764567165887,17635.214695935458
40,Crio,446.0,65.05382386916237,4232.0
40,Docker,1286.9675166666666,247.71428288795016,61362.365946691396
40,Podman,578.7063233333333,140.2041961637548,19657.21662192464

