tests,Environment,debit_mean,debit_std,debit_var,avg_mean,avg_std,avg_var
Rand_Read,Crio-runc,14.373249999999999,4.14457825558484,17.17752891666667,49.92157,8.080129998516938,65.28850079293332
Rand_Write,Crio-runc,8.79575,1.173286658636044,1.3766015833333327,38.0875675,9.989257628814313,99.78526797482495
Seq_Read,Crio-runc,54.325,5.643506593126888,31.849166666666658,18430.0,284.5241641759092,80953.99999999975
Seq_Write,Crio-runc,44.8,9.071934744033376,82.29999999999991,17586.25,348.06644480616023,121150.24999999978
Rand_Read,Docker-crun,16.983333333333334,2.194006988746085,4.813666666666663,36.46013285714286,6.309642877880686,39.811593246390466
Rand_Write,Docker-crun,9.698166666666667,0.7923399312584635,0.6278025666666667,25.42508,4.044019450493118,16.35409331596666
Seq_Read,Docker-crun,70.60000000000001,9.107798855925612,82.9519999999999,16992.571428571428,465.07234460273537,216292.28571428545
Seq_Write,Docker-crun,60.31666666666666,4.242365692236664,17.997666666666667,17783.0,780.1266991115397,608597.6666666667
Rand_Read,Docker-runc,13.7,1.1860297916438127,1.406666666666666,37.4648875,2.1537673630079763,4.638713853958333
Rand_Write,Docker-runc,8.849,1.6010527786428532,2.5633700000000013,21.614584999999998,2.5538967182523242,6.522388447499992
Seq_Read,Docker-runc,58.85,0.776745346515403,0.6033333333333334,16686.25,708.4397763160018,501886.9166666667
Seq_Write,Docker-runc,51.725,6.985401443963927,48.79583333333333,17859.0,441.14018935783514,194604.66666666666
Rand_Read,Podman-crun,15.95,1.3527749258468686,1.830000000000001,40.925648,9.47753625458484,89.82369345697
Rand_Write,Podman-crun,9.86125,0.8215527473429,0.6749489166666668,27.048778,5.239123502697757,27.448415076520014
Seq_Read,Podman-crun,63.9,8.27083228379506,68.40666666666662,17121.8,625.7089579029537,391511.70000000024
Seq_Write,Podman-crun,52.625,5.606172193811623,31.429166666666617,18299.0,384.72587643671733,148014.0000000003
Rand_Read,Podman-runc,21.3,1.1640446726822813,1.3549999999999995,37.914214,3.101620463512584,9.620049499680016
Rand_Write,Podman-runc,11.692400000000001,1.910092353788162,3.648452800000001,25.173512,3.1431865880138257,9.879621927069996
Seq_Read,Podman-runc,78.53999999999999,9.450026454989429,89.30300000000005,17146.5,438.4263526142865,192217.66666666666
Seq_Write,Podman-runc,67.1,12.836081956734308,164.76500000000004,17423.5,813.0233698978153,661006.9999999999
