tests,Environment,debit_mean,debit_std,debit_var,avg_mean,avg_std,var_avg
Rand Read,CRIO,14.373249999999999,4.14457825558484,17.17752891666667,49.92157,8.080129998516938,65.28850079293332
Rand Write,CRIO,8.79575,1.173286658636044,1.3766015833333327,38.0875675,9.989257628814313,99.78526797482495
Seq Read,CRIO,54.325,5.643506593126888,31.849166666666658,18430.0,284.5241641759092,80953.99999999975
Seq Write,CRIO,44.8,9.071934744033376,82.29999999999991,17586.25,348.06644480616023,121150.24999999978
Rand Read,Docker,13.7,1.1860297916438127,1.406666666666666,37.4648875,2.1537673630079763,4.638713853958333
Rand Write,Docker,8.849,1.6010527786428532,2.5633700000000013,21.614584999999998,2.5538967182523242,6.522388447499992
Seq Read,Docker,58.849999999999994,0.776745346515403,0.6033333333333334,16686.25,708.4397763160018,501886.9166666667
Seq Write,Docker,51.725,6.985401443963927,48.79583333333333,17859.0,441.14018935783514,194604.66666666666
Rand Read,Podman,15.95,1.3527749258468686,1.830000000000001,40.925648,9.47753625458484,89.82369345697
Rand Write,Podman,9.86125,0.8215527473429,0.6749489166666668,27.048778,5.239123502697757,27.448415076520014
Seq Read,Podman,63.9,8.27083228379506,68.40666666666662,17121.8,625.7089579029537,391511.70000000024
Seq Write,Podman,52.625,5.606172193811623,31.429166666666617,18299.0,384.72587643671733,148014.0000000003
