cpu,mem,I,O,Environment,Api
104.42,0.71,92.35,746.5,Podman,cgroupfs
101.23,0.71,134.2,767.0,Podman,cgroupfs
96.69,0.71,141.5,816.6,Podman,cgroupfs
97.6,0.71,142.4,816.6,Podman,cgroupfs
88.83,0.71,153.0,831.9,Podman,cgroupfs
102.92,0.72,153.0,896.3,Podman,cgroupfs
99.42,0.72,153.0,906.6,Podman,cgroupfs
101.54,0.73,153.0,910.2,Podman,cgroupfs
104.04,0.74,153.0,916.6,Podman,cgroupfs
103.53,0.75,153.0,921.0,Podman,cgroupfs
103.1,0.77,153.0,929.5,Podman,cgroupfs
103.19,0.78,153.0,942.8,Podman,cgroupfs
100.05,0.79,153.1,951.4,Podman,cgroupfs
103.27,0.8,153.1,956.3,Podman,cgroupfs
104.54,0.8,153.6,956.3,Podman,cgroupfs
104.21,0.81,153.6,970.6,Podman,cgroupfs
103.33,0.82,153.7,980.1,Podman,cgroupfs
103.36,0.83,153.7,992.5,Podman,cgroupfs
102.15,0.84,153.8,1028.096,Podman,cgroupfs
63.47,0.84,155.9,1044.48,Podman,cgroupfs
103.71,0.85,156.6,1044.48,Podman,cgroupfs
103.28,0.85,156.7,1057.792,Podman,cgroupfs
103.05,0.85,156.8,1068.032,Podman,cgroupfs
103.39,0.86,157.0,1086.464,Podman,cgroupfs
103.43,0.87,157.4,1089.536,Podman,cgroupfs
102.84,0.87,157.5,1103.872,Podman,cgroupfs
104.35,0.88,157.9,1111.04,Podman,cgroupfs
103.0,0.88,159.1,1124.352,Podman,cgroupfs
102.89,0.89,159.2,1129.472,Podman,cgroupfs
103.77,0.89,159.3,1134.592,Podman,cgroupfs
103.46,0.9,159.3,1147.904,Podman,cgroupfs
104.07,0.9,159.3,1152.0,Podman,cgroupfs
98.04,0.91,159.4,1164.288,Podman,cgroupfs
101.54,0.91,159.9,1170.432,Podman,cgroupfs
102.3,0.92,160.0,1179.648,Podman,cgroupfs
101.66,0.92,160.1,1190.912,Podman,cgroupfs
101.48,0.93,160.1,1200.128,Podman,cgroupfs
101.66,0.93,160.8,1210.368,Podman,cgroupfs
101.56,0.93,160.8,1218.56,Podman,cgroupfs
103.12,0.94,160.8,1230.848,Podman,cgroupfs
102.4,0.95,160.9,1245.184,Podman,cgroupfs
103.73,0.95,160.9,1257.472,Podman,cgroupfs
103.69,0.96,162.4,1261.568,Podman,cgroupfs
102.55,0.96,162.8,1273.856,Podman,cgroupfs
86.03,0.97,162.9,1283.072,Podman,cgroupfs
103.16,0.98,163.6,1295.36,Podman,cgroupfs
95.3,0.97,258.7,1341.44,Podman,cgroupfs
97.2,0.97,269.7,1348.608,Podman,cgroupfs
97.19,0.97,284.4,1404.928,Podman,cgroupfs
