tests,Environment,debit_mean,debit_std,debit_var,time_mean,time_std,time_var
Add,CRIO,13435.25,76.71429679879361,5885.083333333397,12.258325,2.1939992090168743,4.813632529166671
Scale,CRIO,11363.725,108.40364000653639,11751.349166666738,9.740025,1.7396165868278752,3.026265869166666
Triad,CRIO,12615.15,172.34493513494007,29702.7766666667,13.09435,2.3893933030513557,5.709200356666668
Copy,CRIO,17770.45,192.02788859954927,36874.7100000009,8.175375,2.754705151040065,7.588400469166667
Add,Docker,14268.400000000001,608.5552275677204,370339.4649999999,11.1503,5.1930428519799445,26.967694062499994
Scale,Docker,12599.577777777777,478.8698486482987,229316.3319444445,8.435488888888889,4.003674224210945,16.02940729361111
Triad,Docker,14157.533333333333,706.1502549033037,498648.18250000075,11.25451111111111,5.2673786325468495,27.745277658611116
Copy,Docker,18676.7,1112.9375252007642,1238629.9350000015,5.622544444444444,2.5257439434308813,6.37938246777778
Add,Podman,14304.122222222222,590.0112684893776,348113.2969444444,11.8323,5.263058278938207,27.6997824475
Scale,Podman,12566.066666666668,569.2951343547562,324096.94999999995,9.105977777777778,4.100833019880771,16.816831456944445
Triad,Podman,14172.877777777778,725.8847563108383,526908.6794444451,11.996133333333333,5.365328197789954,28.786746669999992
Copy,Podman,18859.477777777778,1134.549435654719,1287202.4219444415,5.9709,2.608962535185203,6.806685510000001
